,CASE_STATUS,FULL_TIME,PREVAILING_WAGE,lat,lon
93,WITHDRAWN,1.0,74048.0,42.5372893,-71.5128022
94,WITHDRAWN,1.0,73507.0,33.5206608,-86.80249
95,CERTIFIED,1.0,50939.0,41.8089191,-88.01117459999998
96,WITHDRAWN,1.0,89981.0,42.0333607,-88.0834059
97,WITHDRAWN,1.0,82513.6,38.9012225,-77.2652604
98,WITHDRAWN,1.0,72821.0,33.6839473,-117.7946942
99,DENIED,1.0,106954.0,45.1049656,-93.2085582
100,WITHDRAWN,1.0,78957.0,40.7127837,-74.00594129999998
101,DENIED,1.0,64800.0,42.4906231,-71.27600890000002
102,CERTIFIED-WITHDRAWN,1.0,88587.0,39.7392358,-104.990251
103,DENIED,1.0,49379.0,40.5187154,-74.4120953
104,WITHDRAWN,0.0,57325.0,34.07537620000001,-84.2940899
105,CERTIFIED,1.0,71157.0,40.4842027,-88.9936873
106,CERTIFIED-WITHDRAWN,1.0,50419.0,40.04159960000001,-75.3698895
107,CERTIFIED,0.0,45864.0,34.07537620000001,-84.2940899
108,DENIED,1.0,68806.0,41.1264849,-73.71401949999998
109,CERTIFIED-WITHDRAWN,1.0,47570.0,41.117744,-73.4081575
110,WITHDRAWN,1.0,70491.0,34.0522342,-118.24368490000002
111,DENIED,0.0,68578.0,30.267153000000004,-97.7430608
112,DENIED,1.0,38813.0,29.7604267,-95.3698028
113,CERTIFIED-WITHDRAWN,0.0,59093.0,27.950575,-82.4571776
114,CERTIFIED-WITHDRAWN,1.0,79934.0,37.7749295,-122.4194155
115,DENIED,1.0,109540.0,39.11405300000001,-94.6274636
116,DENIED,1.0,475760.0,42.06641670000001,-87.9372908
117,CERTIFIED,1.0,95805.0,39.9611755,-82.9987942
118,CERTIFIED-WITHDRAWN,1.0,55598.0,40.8171184,-89.56794740000002
119,CERTIFIED-WITHDRAWN,0.0,46820.8,42.296797,-71.29238769999998
120,DENIED,0.0,39873.6,25.72149,-80.2683838
121,CERTIFIED-WITHDRAWN,1.0,57623.0,39.9525839,-75.1652215
122,CERTIFIED-WITHDRAWN,1.0,53331.0,40.554887,-74.4642861
123,DENIED,0.0,15600.0,35.4798757,-79.18029940000002
124,CERTIFIED-WITHDRAWN,1.0,99817.0,47.6062095,-122.33207079999998
125,CERTIFIED,0.0,102169.6,37.5407246,-77.4360481
126,CERTIFIED,0.0,59093.0,27.950575,-82.4571776
127,CERTIFIED-WITHDRAWN,1.0,61568.0,38.9822282,-94.6707917
128,CERTIFIED,0.0,61172.8,35.2270869,-80.8431267
129,DENIED,0.0,55993.6,33.9191799,-118.4164652
130,CERTIFIED,1.0,67413.0,44.80413220000001,-93.1668858
131,CERTIFIED,1.0,83075.0,33.158093300000004,-117.3505939
132,CERTIFIED,1.0,59280.0,39.9606643,-75.6054882
133,CERTIFIED,0.0,56200.0,29.7604267,-95.3698028
134,DENIED,0.0,37336.0,40.7127837,-74.00594129999998
135,DENIED,1.0,71000.0,39.934002,-74.8909988
136,CERTIFIED-WITHDRAWN,1.0,90085.0,40.7127837,-74.00594129999998
137,CERTIFIED-WITHDRAWN,1.0,65624.0,32.96179,-96.8291685
138,WITHDRAWN,1.0,38550.0,33.952602,-84.5499327
139,DENIED,0.0,84177.6,39.7390721,-75.5397878
140,WITHDRAWN,1.0,59613.0,40.7127837,-74.00594129999998
141,WITHDRAWN,1.0,60560.0,42.3736158,-71.10973349999998
142,CERTIFIED-WITHDRAWN,1.0,59862.0,35.7795897,-78.6381787
143,WITHDRAWN,1.0,73445.0,40.7127837,-74.00594129999998
144,DENIED,1.0,60861.0,40.6781784,-73.94415790000002
145,CERTIFIED-WITHDRAWN,1.0,65021.0,37.7749295,-122.4194155
146,WITHDRAWN,1.0,73195.0,32.814017699999994,-96.9488945
147,WITHDRAWN,1.0,114150.0,37.4852152,-122.2363548
148,CERTIFIED-WITHDRAWN,1.0,46301.0,46.2856907,-119.2844621
149,DENIED,1.0,63752.0,29.7604267,-95.3698028
150,DENIED,0.0,127420.8,42.531184,-75.52351490000002
151,CERTIFIED,1.0,55078.0,41.8781136,-87.62979820000002
152,CERTIFIED,1.0,52166.0,38.5815719,-121.4943996
153,DENIED,1.0,69763.0,29.7604267,-95.3698028
154,WITHDRAWN,1.0,108098.0,39.7392358,-104.990251
155,CERTIFIED,1.0,46342.0,42.3782065,-71.0602131
156,DENIED,1.0,42000.0,34.1063989,-117.5931084
